ticker,name,sector,country,currency,slippage_bps,local_id,delisting_date
1DP.F,ELKEM ASA            NK 5,Unknown,—,EUR,40,A2JGEL,
1DQ.F,POULAILLON S.A.      EO 1,Unknown,—,EUR,50,A14Z92,
1DZ0.F,INTEA FASTIGHETER B O.N.,Unknown,—,EUR,48,A40XCK,
1ED.F,EDREAMS ODIGEO S.A.,Unknown,—,EUR,44,A111C3,
1EJ.F,WIHLBORGS FASTIGHE.  O.N.,Unknown,—,EUR,50,A3DM8V,
1ES.F,GOEASY LTD,Unknown,—,EUR,50,A140JD,
1F1.F,"FIGEAC AERO S.A.  EO -,12",Aircraft & Space,France,EUR,50,A1XBG1,
1F80.MU,FINCANTIERI SPA   O.N.,Unknown,—,EUR,50,A40H69,
1F9.F,"FIVE9 INC.         DL-,01",Internet & Software,USA,EUR,30,A1XFG9,
1FD.DE,"FLOOR + DECOR CL.A -,001",Unknown,—,EUR,22,A2DQHZ,
1FE1.F,"FORUM ENERGY TECH. DL-,01",Unknown,—,EUR,44,A2QJA0,
1FG0.F,KYNTRA BIO INC.  NEW O.N.,Unknown,—,EUR,40,A419WK,
1FN.F,FNAC DARTY INH. EO 1,Unknown,—,EUR,43,A1T95K,
1FY.F,TABOOLA COM LTD,Unknown,—,EUR,39,A3CTML,
1G3.SG,GLADSTONE INV.CORP.DL-001,Unknown,—,EUR,30,A0KES9,
1G70.F,GLADSTONE CAP CORP. NEW,Unknown,—,EUR,30,A407FM,
1G9.F,GUMI INC.,Unknown,—,EUR,38,A12GD5,
1GC.F,CANADA GOOSE HLDGS INC.,Unknown,—,EUR,40,A2DM00,
1GDA.F,"ZEVRA THERAPEUT. DL-,0001",Unknown,—,EUR,23,A2QLX7,
1GIA.F,FIRSTSERVICE,Real Estate,Canada,EUR,40,A2PKR4,
1GSN.F,NOVANTA INC.,Unknown,—,EUR,36,A2AJW7,
1HI.F,FIRST HAWAIIAN INC.,Unknown,—,EUR,40,A2APM9,
1HTA.DE,HYATT HOTELS CORP.,Hospitality and Tourism,USA,EUR,9,A0YAKV,
1I1.F,INTL TOWER HILL MINES LTD,Unknown,—,EUR,49,A1C4CG,
1I9A.F,SINCH AB,Unknown,—,EUR,50,A3CRFP,
1ID.F,"ID LOGISTICS GROUP EO-,50",Transport,France,EUR,14,A1JWG9,
1IG.F,"AUTOSTORE HOLDINGS DL-,01",Unknown,—,EUR,43,A3C5A3,
1IJ.F,"ADICET BIO NEW  DL -,0001",Unknown,—,EUR,36,A41X5V,
1IK.F,"INNOVATIVE IND PR. -,001",Unknown,—,EUR,19,A2DGXH,
1IV.F,"ST.JAMES'S PLACE   LS-,15",Insurance,Great Britain,EUR,50,888460,
1IY0.F,MONOPAR THERAP. NEW,Unknown,—,EUR,19,A40JML,
1J8.F,BQUE CANT.D.GEN.NAM.SF 5,Unknown,—,EUR,50,A41NLS,
