Code,Name,Isin,Country,Exchange,Currency,Type
FPH,Francotyp-Postalia Holding AG,DE000FPH9000,Germany,XETRA,EUR,Common Stock
FPMB,Freeport-McMoRan Inc,US35671D8570,Germany,XETRA,EUR,Common Stock
FRU,Multitude SE,FI4000106299,Germany,XETRA,EUR,Common Stock
FSNT,Fashionette AG,DE000A2QEFA1,Germany,XETRA,EUR,Common Stock
FTE1,Orange S.A.,US6840601065,Germany,XETRA,EUR,Common Stock
G5NA,Groupon Inc,US3994732069,Germany,XETRA,EUR,Common Stock
G6P,Going Public Media Aktiengesellschaft,DE0007612103,Germany,XETRA,EUR,Common Stock
GAG,GORE German Office Real Estate AG,DE000A0Z26C8,Germany,XETRA,EUR,Common Stock
GAI,SGT German Private Equity GmbH & Co. KGaA,DE000A1MMEV4,Germany,XETRA,EUR,Common Stock
GAZ,Public Joint Stock Company Gazprom,US3682872078,Germany,XETRA,EUR,Common Stock
GBRA,Geberit AG,CH0030170408,Germany,XETRA,EUR,Common Stock
GDX,General Dynamics Corp.,US3695501086,Germany,XETRA,EUR,Common Stock
GFJ1,GFJ ESG Acquisition I SE,LU2358378979,Germany,XETRA,EUR,Common Stock
GGS,Gigaset AG,DE0005156004,Germany,XETRA,EUR,Common Stock
GIN,Givaudan SA,CH0010645932,Germany,XETRA,EUR,Common Stock
GKS,GK Software SE,DE0007571424,Germany,XETRA,EUR,Common Stock
GS7,GSK plc,GB0009252882,Germany,XETRA,EUR,Common Stock
GTR,The Goodyear Tire & Rubber Company,US3825501014,Germany,XETRA,EUR,Common Stock
GWI1,GERRY WEBER International AG,DE0003304101,Germany,XETRA,EUR,Common Stock
GWI2,GERRY WEBER International AG,DE000A255G36,Germany,XETRA,EUR,Common Stock
GXP1,GxP German Properties AG,DE000A2E4L00,Germany,XETRA,EUR,Common Stock
H24,home24 SE,DE000A14KEB5,Germany,XETRA,EUR,Common Stock
H5E,HELMA Eigenheimbau Aktiengesellschaft,DE000A0EQ578,Germany,XETRA,EUR,Common Stock
H9Y,HanseYachts AG,DE000A0KF6M8,Germany,XETRA,EUR,Common Stock
HAE,HAEMATO AG,DE0006190705,Germany,XETRA,EUR,Common Stock
HAEK,Haemato AG,DE000A289VV1,Germany,XETRA,EUR,Common Stock
HAR,Harley-Davidson Inc,US4128221086,Germany,XETRA,EUR,Common Stock
HBM,HORNBACH Baumarkt AG,DE0006084403,Germany,XETRA,EUR,Common Stock
HEMP,DEUTSCHE CANNABIS AG O.N.,DE000A0BVVK7,Germany,XETRA,EUR,Common Stock
HFF,Hartford Financial Services Group Inc.,US4165151048,Germany,XETRA,EUR,Common Stock
