Local_ID,Name,Country,Sector,Bid,Ask
A3DGB0,GJENSIDIGE FORSI.UNSP.ADR,,,23.4000 €,23.6000 €
A3C6AF,"GLOBALFOUNDR. INC. DL-,02",,,70.5800 €,70.8600 €
A1J2LY,"GLOBUS MED.A NEW DL -,001",,,69.3600 €,69.6400 €
A0LCTL,"GOLD RES CORP.    DL-,001",,,1.0460 €,1.0560 €
920332,GOLDMAN SACHS,USA,Banking & Finance,917.4000 €,919.2000 €
A2JNTN,"GOOSEHEAD INS. CL.ADL-,01",,,31.7400 €,31.9300 €
A3C8H0,GRAB HOLDINGS LTD CL.A,,,2.8430 €,2.8700 €
A0NGSQ,"GRAPHIC PACK.HLDG  DL-,01",,,9.2000 €,9.2500 €
870191,GRAUBUEND.KT.BK PS SF 100,Switzerland,Banking & Finance,"2,380.0000 €","2,400.0000 €"
891600,"GREENBRIER COS    DL-,001",,,41.6000 €,41.8000 €
A14WGE,"GRENERGY RENOVALBL.EO-,15",,,119.6000 €,120.8000 €
A2ABZN,"GRIFOLS SA PREF. B EO-,05",,,6.6400 €,6.7000 €
910163,"GROUP 1 AUTOM.     DL-,01",USA,Vehicles,280.0000 €,282.0000 €
A2DPT0,GUOTAI HAITONG SEC.H  YC1,,,1.6000 €,1.6200 €
A3DMBV,H. LUNDBECK A/S NAM. B,,,5.8450 €,5.8800 €
880442,H+H INTL NAM. B     DK 10,,,12.2200 €,12.3000 €
A1T9C5,HA SUST.INFRA.CAP   DL-01,,,33.0000 €,33.2000 €
A2JM2W,HAIER SMART HOME CO.D YC1,China,Elektrische Geräte,1.8986 €,1.9030 €
864247,HAL TR. UNITS,Bermudan Islands,Others,168.2000 €,169.2000 €
864439,"HARMONY GD MNG ADRRC,-50",,,13.7000 €,13.8000 €
898521,HARTFORD FINL SVCS GRP,USA,Insurance,111.9500 €,112.1500 €
854693,"HECLA MNG          DL-,25",,,13.2250 €,13.2750 €
A3CMPQ,HEIMSTADEN AB PR.SHS O.N.,,,1.9350 €,1.9600 €
A0ETXG,"HEINEKEN HLDG     EO 1,60",Netherlands,Alcohol & Tobacco,63.9000 €,64.2000 €
A2PKFK,"HELVETIA HLDG NA  SF 0,02",Switzerland,Insurance,221.8000 €,222.2000 €
872318,HENNES U MAURITZ,Sweden,Department stores & Retail,15.6900 €,15.7850 €
A3CMTD,HEXAGON AB B FRIA O.N.,Sweden,Internet & Software,7.2380 €,7.2900 €
A3DNLJ,HEXATRONIC GROUP AB AK,,,3.8510 €,3.8910 €
A113S6,HIAG IMMOBIL.HLDG NA.SF 1,Switzerland,Real Estate,150.0000 €,151.0000 €
A2QMYY,"HIMS+HERS HERS A DL-,0001",,,23.0400 €,23.1600 €
A2PTXS,"HOFFMANN GR.CEM.TEC. 1,-",,,4.1350 €,4.1800 €
A3ERKJ,"HOWRD.HG.HL.INC NW DL-,01",,,57.7000 €,57.9000 €
A142VP,"HP INC            DL -,01",USA,Computer & Network,21.7800 €,21.8600 €
923893,HSBC HOLDINGS,Great Britain,Banking & Finance,15.8540 €,16.0860 €
867622,"HUNTINGTON BANCSHS DL-,01",USA,Banking & Finance,15.0360 €,15.1260 €
A0J2R2,HUSQVARNA NAM. A   SK 100,,,3.7950 €,3.8200 €
A3EUR0,"HYCROFT MNG HLD  DL-,0001",,,22.1800 €,22.3200 €
A3CQZU,"IAC INTERACTIVEC.DL-,0001",USA,Others,36.7300 €,36.9500 €
888210,"IDEXX LABS INC.    DL-,10",USA,Biotech & Nanotech,484.4000 €,485.4000 €
919537,IEP INVEST S.A.,,,5.0000 €,5.0500 €
A0EARV,IG GROUP HOLDINGS PLC,Great Britain,Banking & Finance,22.6600 €,23.0000 €
861219,ILLINOIS TOOLWORKS,USA,Machinery & Equipment,222.4000 €,222.9000 €
